codigo_ine,nome,municipio,populacao
010103,Aguada de Cima,Águeda,3893
010109,Fermentelos,Águeda,3028
010112,Macinhata do Vouga,Águeda,3210
010119,Valongo do Vouga,Águeda,4648
010124,Recardães e Espinhel,Águeda,5755
010125,Travassô e Óis da Ribeira,Águeda,2203
010126,"Trofa, Segadães e Lamas do Vouga",Águeda,4471
010127,Préstimo e Macieira de Alcoba,Águeda,703
010128,Agadão,Águeda,314
010129,Aguada de Baixo,Águeda,1294
010130,Águeda,Águeda,11606
010131,Barrô,Águeda,1794
010132,Belazaima do Chão,Águeda,528
010133,Borralha,Águeda,2099
010134,Castanheira do Vouga,Águeda,573
010202,Alquerubim,Albergaria-a-Velha,2233
010203,Angeja,Albergaria-a-Velha,1875
010204,Branca,Albergaria-a-Velha,5427
010206,Ribeira de Fráguas,Albergaria-a-Velha,1494
010209,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,11058
010210,São João de Loure e Frossos,Albergaria-a-Velha,2753
010304,Avelãs de Caminho,Anadia,1294
010305,Avelãs de Cima,Anadia,1953
010307,Moita,Anadia,2206
010309,Sangalhos,Anadia,3835
010310,São Lourenço do Bairro,Anadia,2288
010312,Vila Nova de Monsarros,Anadia,1545
010313,Vilarinho do Bairro,Anadia,2491
010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",Anadia,2429
010317,Arcos e Mogofores,Anadia,6239
010318,"Tamengos, Aguim e Óis do Bairro",Anadia,3252
010402,Alvarenga,Arouca,1057
010407,Chave,Arouca,1270
010409,Escariz,Arouca,2111
010411,Fermedo,Arouca,1261
010413,Mansores,Arouca,1100
010414,Moldes,Arouca,1126
010415,Rossas,Arouca,1491
010416,Santa Eulália,Arouca,2120
010417,São Miguel do Mato,Arouca,550
010418,Tropeço,Arouca,1086
010419,Urrô,Arouca,900
010420,Várzea,Arouca,534
010421,Arouca e Burgo,Arouca,5120
010422,Cabreiros e Albergaria da Serra,Arouca,185
010423,Canelas e Espiunca,Arouca,1064
010424,Covelo de Paivó e Janarde,Arouca,171
010501,Aradas,Aveiro,10132
010502,Cacia,Aveiro,6830
010505,Esgueira,Aveiro,13422
010508,Oliveirinha,Aveiro,4734
010510,São Bernardo,Aveiro,5273
010511,São Jacinto,Aveiro,758
010513,Santa Joana,Aveiro,8035
010515,Eixo e Eirol,Aveiro,6159
010516,"Requeixo, Nossa Senhora de Fátima e Nariz",Aveiro,4361
010517,Glória e Vera Cruz,Aveiro,21250
010602,Fornos,Castelo de Paiva,1277
010606,Real,Castelo de Paiva,1194
010607,Santa Maria de Sardoura,Castelo de Paiva,2274
010608,São Martinho de Sardoura,Castelo de Paiva,1849
010612,Bairros,Castelo de Paiva,1926
010613,Paraíso,Castelo de Paiva,847
010614,Pedorido,Castelo de Paiva,1313
010615,Raiva,Castelo de Paiva,2048
010616,Sobrado,Castelo de Paiva,2858
010702,Espinho,Espinho,10432
010704,Paramos,Espinho,3127
010705,Silvalde,Espinho,6108
010707,Anta,Espinho,10104
010708,Guetim,Espinho,1272
010801,Avanca,Estarreja,5732
010805,Pardilhó,Estarreja,4232
010806,Salreu,Estarreja,3673
010809,Canelas e Fermelã,Estarreja,2673
010810,Beduído,Estarreja,7592
010811,Veiros,Estarreja,2311
010901,Argoncilhe,Santa Maria da Feira,8181
010902,Arrifana,Santa Maria da Feira,6311
010904,Escapães,Santa Maria da Feira,3315
010907,Fiães,Santa Maria da Feira,7096
010908,Fornos,Santa Maria da Feira,3433
010913,Lourosa,Santa Maria da Feira,8003
010914,Milheirós de Poiares,Santa Maria da Feira,3594
010916,Mozelos,Santa Maria da Feira,7297
010917,Nogueira da Regedoura,Santa Maria da Feira,5723
010918,São Paio de Oleiros,Santa Maria da Feira,3661
010919,Paços de Brandão,Santa Maria da Feira,4775
010921,Rio Meão,Santa Maria da Feira,4813
010922,Romariz,Santa Maria da Feira,2739
010924,Sanguedo,Santa Maria da Feira,3474
010925,Santa Maria de Lamas,Santa Maria da Feira,4747
010926,São João de Ver,Santa Maria da Feira,11026
010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Santa Maria da Feira,19788
010937,Caldas de São Jorge,Santa Maria da Feira,2653
010938,Canedo,Santa Maria da Feira,5713
010939,Gião,Santa Maria da Feira,1706
010940,Guisande,Santa Maria da Feira,1148
010941,Lobão,Santa Maria da Feira,5490
010942,Louredo,Santa Maria da Feira,1303
010943,Mosteirô,Santa Maria da Feira,1988
010944,Pigeiros,Santa Maria da Feira,1035
010945,São Miguel de Souto,Santa Maria da Feira,4493
010946,Vale,Santa Maria da Feira,1712
010947,Vila Maior,Santa Maria da Feira,1457
011005,Gafanha da Encarnação,Ílhavo,5318
011006,Gafanha da Nazaré,Ílhavo,15551
011007,Gafanha do Carmo,Ílhavo,1691
011008,Ílhavo (São Salvador),Ílhavo,16675
011102,Barcouço,Mealhada,2090
011103,Casal Comba,Mealhada,3073
011104,Luso,Mealhada,2276
011106,Pampilhosa,Mealhada,3858
011107,Vacariça,Mealhada,1678
011110,Antes,Mealhada,925
011111,Mealhada,Mealhada,4525
011112,Ventosa do Bairro,Mealhada,923
011201,Bunheiro,Murtosa,2497
011202,Monte,Murtosa,1568
011203,Murtosa,Murtosa,3503
011204,Torreira,Murtosa,2908
011301,Carregosa,Oliveira de Azeméis,3466
011302,Cesar,Oliveira de Azeméis,3072
011303,Fajões,Oliveira de Azeméis,2896
011304,Loureiro,Oliveira de Azeméis,3638
011305,Macieira de Sarnes,Oliveira de Azeméis,1856
011310,Ossela,Oliveira de Azeméis,1918
011315,São Martinho da Gândara,Oliveira de Azeméis,1854
011318,São Roque,Oliveira de Azeméis,5023
011319,Vila de Cucujães,Oliveira de Azeméis,9962
011321,"Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",Oliveira de Azeméis,20665
011322,"Pinheiro da Bemposta, Travanca e Palmaz",Oliveira de Azeméis,6735
011323,Nogueira do Cravo,Oliveira de Azeméis,2677
011324,Pindelo,Oliveira de Azeméis,2413
011403,Oiã,Oliveira do Bairro,7862
011404,Oliveira do Bairro,Oliveira do Bairro,6385
011405,Palhaça,Oliveira do Bairro,2664
011407,"Bustos, Troviscal e Mamarrosa",Oliveira do Bairro,6221
011502,Cortegaça,Ovar,3746
011503,Esmoriz,Ovar,11922
011504,Maceda,Ovar,3380
011507,Válega,Ovar,6474
011510,Arada,Ovar,3100
011511,Ovar,Ovar,18148
011512,São João,Ovar,6042
011513,São Vicente de Pereira Jusã,Ovar,2141
011601,São João da Madeira,São João da Madeira,22143
011702,Couto de Esteves,Sever do Vouga,712
011704,Pessegueiro do Vouga,Sever do Vouga,1715
011705,Rocas do Vouga,Sever do Vouga,1508
011706,Sever do Vouga,Sever do Vouga,2715
011708,Talhadas,Sever do Vouga,1126
011712,Cedrim,Sever do Vouga,732
011713,Dornelas,Sever do Vouga,539
011714,Paradela,Sever do Vouga,623
011715,Silva Escura,Sever do Vouga,1393
011801,Calvão,Vagos,2186
011804,Gafanha da Boa Hora,Vagos,2848
011805,Ouca,Vagos,1750
011807,Sosa,Vagos,2817
011810,Santo André de Vagos,Vagos,2046
011815,Covão do Lobo,Vagos,892
011816,Fonte de Angeão,Vagos,1124
011817,Ponte de Vagos,Vagos,1869
011818,Santa Catarina,Vagos,1014
011819,Santo António,Vagos,1743
011820,Vagos,Vagos,4597
011901,Arões,Vale de Cambra,1169
011902,São Pedro de Castelões,Vale de Cambra,6831
011903,Cepelos,Vale de Cambra,1157
011905,Junqueira,Vale de Cambra,834
011906,Macieira de Cambra,Vale de Cambra,4390
011907,Roge,Vale de Cambra,1540
011910,"Vila Chã, Codal e Vila Cova de Perrinho",Vale de Cambra,5348
020102,Ervidel,Aljustrel,917
020103,Messejana,Aljustrel,811
020104,São João de Negrilhos,Aljustrel,1360
020107,Aljustrel,Aljustrel,5125
020108,Rio de Moinhos,Aljustrel,661
020203,Rosário,Almodôvar,592
020205,Santa Cruz,Almodôvar,483
020206,São Barnabé,Almodôvar,371
020208,Aldeia dos Fernandes,Almodôvar,515
020211,Almodôvar,Almodôvar,3658
020212,Gomes Aires,Almodôvar,300
020213,Santa Clara-a-Nova,Almodôvar,485
020214,Senhora da Graça dos Padrões,Almodôvar,308
020301,Alvito,Alvito,1196
020302,Vila Nova da Baronia,Alvito,1084
020401,Barrancos,Barrancos,1438
020502,Baleizão,Beja,884
020503,Beringel,Beja,1188
020504,Cabeça Gorda,Beja,1125
020506,Nossa Senhora das Neves,Beja,1525
020510,Santa Clara de Louredo,Beja,747
020516,São Matias,Beja,513
020519,Albernoa e Trindade,Beja,889
020520,Beja (Salvador e Santa Maria da Feira),Beja,10710
020521,Beja (Santiago Maior e São João Baptista),Beja,13363
020522,Salvada e Quintos,Beja,1181
020523,Santa Vitória e Mombeja,Beja,784
020524,Trigaches e São Brissos,Beja,485
020603,Entradas,Castro Verde,593
020604,Santa Bárbara de Padrões,Castro Verde,731
020605,São Marcos da Ataboeira,Castro Verde,260
020606,Castro Verde e Casével,Castro Verde,5289
020701,Cuba,Cuba,3092
020702,Faro do Alentejo,Cuba,485
020703,Vila Alva,Cuba,416
020704,Vila Ruiva,Cuba,380
020803,Figueira dos Cavaleiros,Ferreira do Alentejo,1185
020804,Odivelas,Ferreira do Alentejo,473
020809,Alfundão,Ferreira do Alentejo,928
020810,Canhestros,Ferreira do Alentejo,433
020811,Ferreira do Alentejo,Ferreira do Alentejo,4306
020812,Peroguarda,Ferreira do Alentejo,359
020901,Alcaria Ruiva,Mértola,630
020902,Corte do Pinto,Mértola,735
020903,Espírito Santo,Mértola,329
020904,Mértola,Mértola,2504
020905,Santana de Cambas,Mértola,750
020906,São João dos Caldeireiros,Mértola,442
020910,"São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",Mértola,816
021001,Amareleja,Moura,2030
021002,Póvoa de São Miguel,Moura,761
021008,Sobral da Adiça,Moura,862
021009,Moura (Santo Agostinho e São João Baptista) e Santo Amador,Moura,8039
021011,Safara,Moura,909
021012,Santo Aleixo da Restauração,Moura,657
021102,Relíquias,Odemira,995
021103,Sabóia,Odemira,922
021106,São Luís,Odemira,1883
021107,São Martinho das Amoreiras,Odemira,1047
021111,Vila Nova de Milfontes,Odemira,5660
021115,Luzianes-Gare,Odemira,374
021116,Boavista dos Pinheiros,Odemira,1975
021117,Longueira/Almograve,Odemira,2334
021119,Santa Clara-a-Velha,Odemira,633
021120,São Salvador e Santa Maria,Odemira,3373
021121,São Teotónio,Odemira,8699
021123,Bicos,Odemira,442
021124,Colos,Odemira,784
021125,Vale de Santiago,Odemira,417
021203,Ourique,Ourique,2804
021206,Santana da Serra,Ourique,660
021208,Panoias e Conceição,Ourique,488
021209,Garvão,Ourique,595
021210,Santa Luzia,Ourique,292
021302,Brinches,Serpa,930
021303,Pias,Serpa,2542
021307,Vila Verde de Ficalho,Serpa,1255
021308,Serpa (Salvador e Santa Maria),Serpa,5595
021310,Vale de Vargo,Serpa,831
021311,Vila Nova de São Bento,Serpa,2604
021401,Pedrógão,Vidigueira,937
021402,Selmes,Vidigueira,780
021403,Vidigueira,Vidigueira,2659
021404,Vila de Frades,Vidigueira,799
030102,Barreiros,Amares,739
030104,Bico,Amares,816
030105,Caires,Amares,878
030107,Carrazedo,Amares,723
030108,Dornelas,Amares,510
030111,Fiscal,Amares,712
030112,Goães,Amares,490
030113,Lago,Amares,1824
030118,Rendufe,Amares,1080
030119,Bouro (Santa Maria),Amares,659
030120,Bouro (Santa Marta),Amares,427
030125,Amares e Figueiredo,Amares,2767
030126,"Caldelas, Sequeiros e Paranhos",Amares,1125
030127,"Ferreiros, Prozelo e Besteiros",Amares,4728
030128,Torre e Portela,Amares,563
030129,"Vilela, Seramil e Paredes Secas",Amares,554
030201,Abade de Neiva,Barcelos,2009
030202,Aborim,Barcelos,827
030203,Adães,Barcelos,755
030205,Airó,Barcelos,883
030206,Aldreu,Barcelos,795
030208,Alvelos,Barcelos,2010
030209,Arcozelo,Barcelos,12824
030210,Areias,Barcelos,1026
030212,Balugães,Barcelos,787
030213,Barcelinhos,Barcelos,1869
030215,Barqueiros,Barcelos,1916
030216,Cambeses,Barcelos,1236
030218,Carapeços,Barcelos,2168
030220,Carvalhal,Barcelos,1233
030221,Carvalhas,Barcelos,692
030224,Cossourado,Barcelos,758
030228,Cristelo,Barcelos,1657
030234,Fornelos,Barcelos,803
030235,Fragoso,Barcelos,2069
030237,Gilmonde,Barcelos,1497
030242,Lama,Barcelos,1164
030243,Lijó,Barcelos,2425
030244,Macieira de Rates,Barcelos,1907
030245,Manhente,Barcelos,1705
030247,Martim,Barcelos,2051
030252,Moure,Barcelos,921
030254,Oliveira,Barcelos,986
030255,Palme,Barcelos,1045
030256,Panque,Barcelos,631
030257,Paradela,Barcelos,789
030259,Pereira,Barcelos,1241
030260,Perelhal,Barcelos,1700
030261,Pousa,Barcelos,2218
030263,Remelhe,Barcelos,1280
030264,Roriz,Barcelos,2021
030265,Rio Covo (Santa Eugénia),Barcelos,1556
030268,Galegos (Santa Maria),Barcelos,2848
030272,Galegos (São Martinho),Barcelos,1842
030277,Tamel (São Veríssimo),Barcelos,2915
030279,Silva,Barcelos,900
030282,Ucha,Barcelos,1416
030283,Várzea,Barcelos,1934
030287,Vila Seca,Barcelos,1064
030290,Alheira e Igreja Nova,Barcelos,1347
030291,Alvito (São Pedro e São Martinho) e Couto,Barcelos,1446
030292,Areias de Vilar e Encourados,Barcelos,1740
030294,Campo e Tamel (São Pedro Fins),Barcelos,1509
030295,Carreira e Fonte Coberta,Barcelos,2022
030296,"Chorente, Góios, Courel, Pedra Furada e Gueral",Barcelos,2454
030297,Creixomil e Mariz,Barcelos,1112
030298,Durrães e Tregosa,Barcelos,1379
030299,Gamil e Midões,Barcelos,1377
0302FA,"Milhazes, Vilar de Figos e Faria",Barcelos,1993
0302FB,Negreiros e Chavão,Barcelos,2203
0302FC,Quintiães e Aguiar,Barcelos,1080
0302FD,Sequeade e Bastuço (São João e Santo Estevão),Barcelos,1808
0302FF,Tamel (Santa Leocádia) e Vilar do Monte,Barcelos,1269
0302FG,"Viatodos, Grimancelos, Minhotães e Monte de Fralães",Barcelos,3744
0302FH,Vila Cova e Feitos,Barcelos,2449
0302FI,Barcelos,Barcelos,4711
0302FJ,Rio Covo (Santa Eulália),Barcelos,976
0302FK,Silveiros,Barcelos,1122
0302FL,Vila Boa,Barcelos,2570
0302FM,Vila Frescaínha (São Martinho),Barcelos,2474
0302FN,Vila Frescaínha (São Pedro),Barcelos,1594
030301,Adaúfe,Braga,3587
030312,Espinho,Braga,1057
030313,Esporões,Braga,1713
030315,Figueiredo,Braga,1150
030319,Gualtar,Braga,6761
030322,Lamas,Braga,852
030325,Mire de Tibães,Braga,2344
030330,Padim da Graça,Braga,1416
030331,Palmeira,Braga,5700
030334,Pedralva,Braga,1060
030336,Priscos,Braga,1256
030338,Ruilhe,Braga,1110
030349,Braga (São Vicente),Braga,13974
030351,Braga (São Vítor),Braga,32876
030354,Sequeira,Braga,1741
030355,Sobreposta,Braga,1267
030356,Tadim,Braga,1267
030357,Tebosa,Braga,1081
030363,Arentim e Cunha,Braga,1406
030364,"Braga (Maximinos, Sé e Cividade)",Braga,15087
030365,Braga (São José de São Lázaro e São João do Souto),Braga,14791
030366,Cabreiros e Passos (São Julião),Braga,2082
030367,"Celeirós, Aveleda e Vimieiro",Braga,6742
030368,Crespos e Pousada,Braga,1231
030369,Escudeiros e Penso (Santo Estêvão e São Vicente),Braga,1823
030370,Este (São Pedro e São Mamede),Braga,4066
030371,Ferreiros e Gondizalves,Braga,9976
030372,Guisande e Oliveira (São Pedro),Braga,1072
030373,Lomar e Arcos,Braga,7265
030374,"Merelim (São Paio), Panoias e Parada de Tibães",Braga,5168
030375,Merelim (São Pedro) e Frossos,Braga,3935
030376,Morreira e Trandeiras,Braga,1364
030377,"Nogueira, Fraião e Lamaçães",Braga,15015
030378,Nogueiró e Tenões,Braga,5946
030379,"Real, Dume e Semelhe",Braga,13682
030380,Santa Lucrécia de Algeriz e Navarra,Braga,909
030381,Vilaça e Fradelos,Braga,1552
030401,Abadim,Cabeceiras de Basto,472
030404,Basto,Cabeceiras de Basto,893
030405,Bucos,Cabeceiras de Basto,469
030406,Cabeceiras de Basto,Cabeceiras de Basto,616
030407,Cavez,Cabeceiras de Basto,1133
030408,Faia,Cabeceiras de Basto,555
030413,Pedraça,Cabeceiras de Basto,694
030415,Rio Douro,Cabeceiras de Basto,816
030418,Alvite e Passos,Cabeceiras de Basto,1039
030419,Arco de Baúlhe e Vila Nune,Cabeceiras de Basto,1950
030420,Gondiães e Vilar de Cunhas,Cabeceiras de Basto,347
030422,Outeiro,Cabeceiras de Basto,1071
030423,Painzela,Cabeceiras de Basto,777
030424,Refojos de Basto,Cabeceiras de Basto,4726
030501,Agilde,Celorico de Basto,1159
030502,Arnóia,Celorico de Basto,1512
030503,Borba de Montanha,Celorico de Basto,1116
030508,Codeçoso,Celorico de Basto,388
030510,Fervença,Celorico de Basto,1057
030515,Moreira do Castelo,Celorico de Basto,584
030517,Rego,Celorico de Basto,1032
030518,Ribas,Celorico de Basto,900
030520,Basto (São Clemente),Celorico de Basto,1381
030521,Vale de Bouro,Celorico de Basto,818
030523,"Britelo, Gémeos e Ourilhe",Celorico de Basto,3431
030524,Caçarilhe e Infesta,Celorico de Basto,510
030525,Canedo de Basto e Corgo,Celorico de Basto,1101
030526,Carvalho e Basto (Santa Tecla),Celorico de Basto,942
030527,"Veade, Gagos e Molares",Celorico de Basto,1712
030601,Antas,Esposende,2178
030608,Forjães,Esposende,2646
030610,Gemeses,Esposende,1113
030615,Vila Chã,Esposende,1255
030619,Fonte Boa e Rio Tinto,Esposende,1838
030621,Apúlia,Esposende,4326
030622,Belinho,Esposende,1856
030623,Curvos,Esposende,780
030624,Esposende,Esposende,4152
030625,Fão,Esposende,3521
030626,Gandra,Esposende,1473
030627,Mar,Esposende,1040
030628,Marinhas,Esposende,6637
030629,Palmeira de Faro,Esposende,2317
030705,Armil,Fafe,687
030708,Estorãos,Fafe,1540
030709,Fafe,Fafe,15455
030712,Fornelos,Fafe,1352
030714,Golães,Fafe,2024
030716,Medelo,Fafe,1543
030719,Paços,Fafe,1015
030722,Quinchães,Fafe,2171
030723,Regadas,Fafe,1537
030724,Revelhe,Fafe,788
030725,Ribeiros,Fafe,545
030726,Arões (Santa Cristina),Fafe,1550
030728,São Gens,Fafe,1643
030729,Silvares (São Martinho),Fafe,1256
030730,Arões (São Romão),Fafe,3293
030733,Travassós,Fafe,1444
030736,Vinhós,Fafe,570
030737,"freguesias de Aboim, Felgueiras, Gontim e Pedraído",Fafe,773
030738,freguesias de Agrela e Serafão,Fafe,1208
030739,freguesias de Antime e Silvares (São Clemente),Fafe,1940
030740,"freguesias de Ardegão, Arnozela e Seidões",Fafe,949
030741,freguesias de Cepães e Fareja,Fafe,2152
030742,freguesias de Freitas e Vila Cova,Fafe,747
030743,freguesias de Monte e Queimadela,Fafe,659
030744,freguesias de Moreira do Rei e Várzea Cova,Fafe,1656
030801,Aldão,Guimarães,1278
030804,Azurém,Guimarães,9089
030806,Barco,Guimarães,1439
030807,Brito,Guimarães,4774
030808,Caldelas,Guimarães,6304
030812,Costa,Guimarães,5396
030813,Creixomil,Guimarães,9708
030815,Fermentões,Guimarães,5739
030820,Gonça,Guimarães,954
030821,Gondar,Guimarães,2581
030823,Guardizela,Guimarães,2447
030824,Infantas,Guimarães,1740
030827,Longos,Guimarães,1339
030828,Lordelo,Guimarães,3979
030830,Mesão Frio,Guimarães,4159
030831,Moreira de Cónegos,Guimarães,4651
030832,Nespereira,Guimarães,2594
030835,Pencelo,Guimarães,1220
030836,Pinheiro,Guimarães,1135
030837,Polvoreira,Guimarães,3545
030838,Ponte,Guimarães,6687
030840,Ronfe,Guimarães,4496
030842,Prazins (Santa Eufémia),Guimarães,1267
030850,Selho (São Cristóvão),Guimarães,2138
030854,Selho (São Jorge),Guimarães,5923
030857,Candoso (São Martinho),Guimarães,1234
030858,Sande (São Martinho),Guimarães,2239
030865,São Torcato,Guimarães,3345
030866,Serzedelo,Guimarães,3418
030868,Silvares,Guimarães,2250
030871,Urgezes,Guimarães,5517
030875,Abação e Gémeos,Guimarães,2682
030877,Arosa e Castelões,Guimarães,699
030878,Atães e Rendufe,Guimarães,2579
030879,Briteiros Santo Estêvão e Donim,Guimarães,2024
030880,Briteiros São Salvador e Briteiros Santa Leocádia,Guimarães,1687
030881,Candoso São Tiago e Mascotelos,Guimarães,3808
030883,"Leitões, Oleiros e Figueiredo",Guimarães,1437
030884,"Oliveira, São Paio e São Sebastião",Guimarães,7830
030886,Sande São Lourenço e Balazar,Guimarães,1584
030888,Selho São Lourenço e Gominhães,Guimarães,2271
030890,"Souto Santa Maria, Souto São Salvador e Gondomar",Guimarães,2043
030892,Airão (Santa Maria),Guimarães,1425
030893,Airão São João,Guimarães,741
030894,Calvos,Guimarães,1066
030895,Conde,Guimarães,1411
030896,Corvite,Guimarães,908
030897,Gandarela,Guimarães,1053
030898,Prazins Santo Tirso,Guimarães,1031
030899,Sande (São Clemente),Guimarães,1578
0308FA,Sande (Vila Nova),Guimarães,1729
0308FB,São Faustino,Guimarães,913
0308FC,Serzedo,Guimarães,1197
0308FD,Tabuadelo,Guimarães,1502
0308FE,Vermil,Guimarães,1047
030906,Covelas,Póvoa de Lanhoso,406
030908,Ferreiros,Póvoa de Lanhoso,410
030912,Galegos,Póvoa de Lanhoso,559
030913,Garfe,Póvoa de Lanhoso,983
030914,Geraz do Minho,Póvoa de Lanhoso,544
030915,Lanhoso,Póvoa de Lanhoso,766
030917,Monsul,Póvoa de Lanhoso,713
030919,Póvoa de Lanhoso (Nossa Senhora do Amparo),Póvoa de Lanhoso,5623
030921,Rendufinho,Póvoa de Lanhoso,650
030922,Santo Emilião,Póvoa de Lanhoso,825
030923,São João de Rei,Póvoa de Lanhoso,365
030924,Serzedelo,Póvoa de Lanhoso,738
030925,Sobradelo da Goma,Póvoa de Lanhoso,695
030926,Taíde,Póvoa de Lanhoso,1683
030927,Travassos,Póvoa de Lanhoso,605
030929,Vilela,Póvoa de Lanhoso,596
030930,Águas Santas e Moure,Póvoa de Lanhoso,589
030931,Calvos e Frades,Póvoa de Lanhoso,742
030932,Campos e Louredo,Póvoa de Lanhoso,1391
030933,Esperança e Brunhais,Póvoa de Lanhoso,608
030934,Fonte Arcada e Oliveira,Póvoa de Lanhoso,1629
030935,"Verim, Friande e Ajude",Póvoa de Lanhoso,655
031001,Balança,Terras de Bouro,307
031003,Campo do Gerês,Terras de Bouro,149
031004,Carvalheira,Terras de Bouro,292
031008,Covide,Terras de Bouro,273
031009,Gondoriz,Terras de Bouro,296
031010,Moimenta,Terras de Bouro,783
031012,Ribeira,Terras de Bouro,212
031013,Rio Caldo,Terras de Bouro,770
031014,Souto,Terras de Bouro,461
031015,Valdosende,Terras de Bouro,550
031017,Vilar da Veiga,Terras de Bouro,1074
031018,Chamoim e Vilar,Terras de Bouro,349
031019,Chorense e Monte,Terras de Bouro,538
031020,Cibões e Brufe,Terras de Bouro,304
031105,Cantelães,Vieira do Minho,740
031107,Eira Vedra,Vieira do Minho,616
031108,Guilhofrei,Vieira do Minho,898
031109,Louredo,Vieira do Minho,394
031110,Mosteiro,Vieira do Minho,688
031111,Parada de Bouro,Vieira do Minho,400
031112,Pinheiro,Vieira do Minho,372
031113,Rossas,Vieira do Minho,1468
031115,Salamonde,Vieira do Minho,343
031118,Tabuaças,Vieira do Minho,887
031120,Vieira do Minho,Vieira do Minho,2372
031122,Anissó e Soutelo,Vieira do Minho,345
031123,Anjos e Vilar do Chão,Vieira do Minho,565
031124,Caniçada e Soengas,Vieira do Minho,517
031125,Ruivães e Campos,Vieira do Minho,773
031126,Ventosa e Cova,Vieira do Minho,577
031204,Bairro,Vila Nova de Famalicão,3196
031206,Brufe,Vila Nova de Famalicão,2294
031210,Castelões,Vila Nova de Famalicão,2083
031212,Cruz,Vila Nova de Famalicão,1651
031213,Delães,Vila Nova de Famalicão,3980
031215,Fradelos,Vila Nova de Famalicão,3895
031216,Gavião,Vila Nova de Famalicão,3884
031219,Joane,Vila Nova de Famalicão,7946
031221,Landim,Vila Nova de Famalicão,2838
031223,Louro,Vila Nova de Famalicão,2212
031224,Lousado,Vila Nova de Famalicão,3884
031225,Mogege,Vila Nova de Famalicão,1874
031227,Nine,Vila Nova de Famalicão,3019
031230,Pedome,Vila Nova de Famalicão,1997
031232,Pousada de Saramagos,Vila Nova de Famalicão,2179
031233,Requião,Vila Nova de Famalicão,3197
031234,Riba de Ave,Vila Nova de Famalicão,3191
031235,Ribeirão,Vila Nova de Famalicão,9061
031239,Oliveira (Santa Maria),Vila Nova de Famalicão,3279
031241,Vale (São Martinho),Vila Nova de Famalicão,2036
031242,Oliveira (São Mateus),Vila Nova de Famalicão,2418
031247,Vermoim,Vila Nova de Famalicão,2947
031249,Vilarinho das Cambas,Vila Nova de Famalicão,1485
031250,Antas e Abade de Vermoim,Vila Nova de Famalicão,8195
031251,Arnoso (Santa Maria e Santa Eulália) e Sezures,Vila Nova de Famalicão,3527
031253,Carreira e Bente,Vila Nova de Famalicão,2352
031256,"Lemenhe, Mouquim e Jesufrei",Vila Nova de Famalicão,3141
031258,Seide,Vila Nova de Famalicão,1514
031259,"Vale (São Cosme), Telhado e Portela",Vila Nova de Famalicão,5240
031260,Vila Nova de Famalicão e Calendário,Vila Nova de Famalicão,20928
031261,Avidos,Vila Nova de Famalicão,1660
031262,Cabeçudos,Vila Nova de Famalicão,1446
031263,Cavalões,Vila Nova de Famalicão,1599
031264,Esmeriz,Vila Nova de Famalicão,2170
031265,Gondifelos,Vila Nova de Famalicão,2675
031266,Lagoa,Vila Nova de Famalicão,877
031267,Novais,Vila Nova de Famalicão,1129
031268,Outiz,Vila Nova de Famalicão,857
031269,Ruivães,Vila Nova de Famalicão,1678
031304,Atiães,Vila Verde,547
031308,Cabanelas,Vila Verde,1973
031309,Cervães,Vila Verde,1856
031311,Coucieiro,Vila Verde,526
031313,Dossãos,Vila Verde,424
031316,Freiriz,Vila Verde,1056
031317,Gême,Vila Verde,521
031323,Lage,Vila Verde,3054
031324,Lanhas,Vila Verde,654
031325,Loureira,Vila Verde,1104
031328,Moure,Vila Verde,1378
031330,Oleiros,Vila Verde,1189
031331,Parada de Gatim,Vila Verde,707
031335,Pico,Vila Verde,516
031337,Ponte,Vila Verde,452
031340,Sabariz,Vila Verde,448
031342,Vila de Prado,Vila Verde,4482
031350,Prado (São Miguel),Vila Verde,653
031352,Soutelo,Vila Verde,2124
031354,Turiz,Vila Verde,1866
031355,Valdreu,Vila Verde,434
031359,Aboim da Nóbrega e Gondomar,Vila Verde,902
031360,Ribeira do Neiva,Vila Verde,3360
031361,Carreiras (São Miguel) e Carreiras (Santiago),Vila Verde,832
031362,Escariz (São Mamede) e Escariz (São Martinho),Vila Verde,744
031363,"Esqueiros, Nevogilde e Travassós",Vila Verde,922
031364,Marrancos e Arcozelo,Vila Verde,823
031365,Oriz (Santa Marinha) e Oriz (São Miguel),Vila Verde,509
031366,"Pico de Regalados, Gondiães e Mós",Vila Verde,1553
031367,"Sande, Vilarinho, Barros e Gomide",Vila Verde,1411
031368,"Valbom (São Pedro), Passô e Valbom (São Martinho)",Vila Verde,595
031369,Vade,Vila Verde,1453
031370,Vila Verde e Barbudo,Vila Verde,7376
031401,Santa Eulália,Vizela,5389
031404,Infias,Vizela,1811
031406,Vizela (Santo Adrião),Vizela,2264
031408,Caldas de Vizela (São Miguel e São João),Vizela,11072
031410,Tagilde,Vizela,1762
031411,Vizela (São Paio),Vizela,1598
040102,Alfândega da Fé,Alfândega da Fé,1937
